epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,time
1,phase1,3.5943,19.76,2.6305,35.57,0.010000,11.8
2,phase1,2.3186,42.88,2.1513,44.59,0.009755,12.4
3,phase1,2.0194,48.27,1.9830,47.65,0.009045,11.9
4,phase2,1.3378,61.30,2.0541,46.20,0.100000,24.9
5,phase2,0.9420,71.77,1.5343,57.31,0.097553,25.3
6,phase2,0.7814,75.82,1.9597,50.02,0.090451,25.2
7,phase2,0.6358,80.20,1.1609,66.59,0.079389,25.6
8,phase2,0.5035,84.14,1.0402,69.97,0.065451,25.4
9,phase2,0.3767,88.38,0.9051,73.98,0.050000,24.9
10,phase2,0.2604,92.42,0.8346,75.80,0.034549,24.9
